League,Year,Decade,RS,RA,RD,W,OBP,SLG,BA,Playoffs,G,OOBP,OSLG
0,2001,2000,729,858,-129,65,0.318,0.409,0.266,0,162,0.348,0.45
1,2001,2000,758,744,14,86,0.323,0.425,0.255,0,162,0.323,0.411
1,2001,2000,740,806,-66,68,0.319,0.426,0.251,0,162,0.35,0.44
0,2001,2000,771,766,5,85,0.337,0.433,0.272,0,162,0.325,0.437
1,2001,2000,670,812,-142,68,0.319,0.396,0.253,0,162,0.339,0.441
1,2001,2000,642,713,-71,82,0.323,0.387,0.249,0,162,0.314,0.419
0,2001,2000,804,713,91,95,0.334,0.435,0.267,1,161,0.318,0.398
0,2001,2000,884,645,239,102,0.345,0.439,0.264,1,162,0.308,0.38
1,2001,2000,746,719,27,86,0.329,0.414,0.26,0,162,0.329,0.424
1,2001,2000,657,858,-201,62,0.313,0.393,0.247,0,162,0.344,0.433
1,2001,2000,789,812,-23,79,0.336,0.399,0.252,0,162,0.33,0.45
0,2001,2000,927,627,300,116,0.36,0.445,0.288,1,162,0.301,0.378
1,2001,2000,799,748,51,90,0.342,0.46,0.266,0,162,0.329,0.404
1,2001,2000,814,684,130,93,0.339,0.441,0.27,1,162,0.328,0.428
0,2001,2000,672,887,-215,62,0.32,0.388,0.258,0,162,0.345,0.452
0,2001,2000,890,968,-78,73,0.344,0.471,0.275,0,162,0.362,0.494
0,2001,2000,767,753,14,80,0.325,0.43,0.263,0,162,0.339,0.435
0,2000,2000,864,869,-5,82,0.352,0.472,0.28,0,162,0.351,0.453
1,2000,2000,792,754,38,85,0.333,0.429,0.265,0,162,0.326,0.424
1,2000,2000,810,714,96,95,0.346,0.429,0.271,1,162,0.319,0.402
0,2000,2000,794,913,-119,74,0.341,0.435,0.272,0,162,0.352,0.449
0,2000,2000,792,745,47,85,0.341,0.423,0.267,0,162,0.322,0.411
1,2000,2000,764,904,-140,65,0.335,0.411,0.256,0,162,0.348,0.452
0,2000,2000,978,839,139,95,0.356,0.47,0.286,1,162,0.346,0.434
1,2000,2000,825,765,60,85,0.343,0.447,0.274,0,163,0.341,0.438
0,2000,2000,950,816,134,90,0.367,0.47,0.288,0,162,0.35,0.425
1,2000,2000,968,897,71,82,0.362,0.455,0.294,0,162,0.354,0.471
0,2000,2000,823,827,-4,79,0.343,0.438,0.275,0,162,0.34,0.443
1,2000,2000,731,797,-66,79,0.331,0.409,0.262,0,161,0.348,0.429
1,2000,2000,938,944,-6,72,0.361,0.477,0.278,0,162,0.353,0.476
0,2000,2000,879,930,-51,77,0.348,0.425,0.288,0,162,0.362,0.474
1,2000,2000,798,729,69,86,0.341,0.431,0.257,0,162,0.332,0.407
1,2000,2000,740,826,-86,73,0.325,0.403,0.246,0,163,0.357,0.42
0,2000,2000,748,880,-132,69,0.337,0.407,0.27,0,162,0.347,0.466
1,2000,2000,738,902,-164,67,0.326,0.432,0.266,0,162,0.353,0.449
1,2000,2000,807,738,69,94,0.346,0.43,0.263,1,162,0.327,0.403
0,2000,2000,871,814,57,87,0.354,0.45,0.277,1,161,0.336,0.422
0,2000,2000,947,813,134,91,0.36,0.458,0.27,1,161,0.348,0.423
1,2000,2000,708,830,-122,65,0.329,0.4,0.251,0,162,0.343,0.448
1,2000,2000,793,888,-95,69,0.339,0.424,0.267,0,162,0.361,0.432
1,2000,2000,752,815,-63,76,0.33,0.402,0.254,0,162,0.34,0.416
0,2000,2000,907,780,127,91,0.361,0.442,0.269,1,162,0.339,0.416
1,2000,2000,925,747,178,97,0.362,0.472,0.278,1,162,0.342,0.412
1,2000,2000,887,771,116,95,0.356,0.455,0.27,1,162,0.338,0.434
0,2000,2000,733,842,-109,69,0.329,0.399,0.257,0,161,0.345,0.451
0,2000,2000,848,974,-126,71,0.352,0.446,0.283,0,162,0.369,0.475
0,2000,2000,861,908,-47,83,0.341,0.469,0.275,0,162,0.354,0.456
0,1999,1990,711,826,-115,70,0.322,0.395,0.256,0,162,0.346,0.427
1,1999,1990,908,676,232,100,0.347,0.459,0.277,1,162,0.32,0.402
1,1999,1990,840,661,179,103,0.341,0.436,0.266,1,162,0.314,0.377
0,1999,1990,851,815,36,78,0.353,0.447,0.279,0,162,0.35,0.441
0,1999,1990,836,718,118,94,0.35,0.448,0.278,1,162,0.315,0.398
1,1999,1990,747,920,-173,67,0.329,0.42,0.257,0,162,0.346,0.467
0,1999,1990,777,870,-93,75,0.337,0.429,0.277,0,162,0.353,0.447
1,1999,1990,865,711,154,96,0.341,0.451,0.272,0,163,0.324,0.411
0,1999,1990,1009,860,149,97,0.373,0.467,0.289,1,162,0.347,0.439
1,1999,1990,906,1028,-122,72,0.348,0.472,0.288,0,162,0.384,0.499
0,1999,1990,747,882,-135,69,0.326,0.443,0.261,0,161,0.349,0.451
1,1999,1990,691,852,-161,64,0.325,0.395,0.263,0,162,0.359,0.44
1,1999,1990,823,675,148,97,0.355,0.42,0.267,1,162,0.326,0.397
0,1999,1990,856,921,-65,64,0.348,0.433,0.282,0,161,0.365,0.454
1,1999,1990,793,787,6,77,0.339,0.42,0.266,0,162,0.336,0.422
1,1999,1990,815,886,-71,74,0.353,0.426,0.273,0,161,0.356,0.457
0,1999,1990,686,845,-159,63,0.328,0.384,0.264,0,161,0.342,0.465
1,1999,1990,718,853,-135,68,0.323,0.427,0.265,0,162,0.342,0.418
1,1999,1990,853,711,142,97,0.363,0.434,0.279,1,163,0.331,0.418
0,1999,1990,900,731,169,98,0.366,0.453,0.282,1,162,0.329,0.4
0,1999,1990,893,846,47,87,0.355,0.446,0.259,0,162,0.344,0.428
1,1999,1990,841,846,-5,77,0.351,0.431,0.275,0,162,0.347,0.447
1,1999,1990,775,782,-7,78,0.334,0.419,0.259,0,161,0.343,0.42
1,1999,1990,710,781,-71,74,0.332,0.393,0.252,0,162,0.333,0.43
0,1999,1990,859,905,-46,79,0.343,0.455,0.269,0,162,0.368,0.454
1,1999,1990,872,831,41,86,0.356,0.434,0.271,0,162,0.345,0.423
1,1999,1990,809,838,-29,75,0.338,0.426,0.262,0,161,0.355,0.427
0,1999,1990,772,913,-141,69,0.343,0.411,0.274,0,162,0.371,0.448
0,1999,1990,945,859,86,95,0.361,0.479,0.293,1,162,0.346,0.459
0,1999,1990,883,862,21,84,0.352,0.457,0.28,0,162,0.353,0.456
0,1998,1990,787,783,4,85,0.335,0.415,0.272,0,162,,
1,1998,1990,665,812,-147,65,0.314,0.393,0.246,0,162,,
1,1998,1990,826,581,245,106,0.342,0.453,0.272,1,162,,
0,1998,1990,817,785,32,79,0.347,0.447,0.273,0,162,,
0,1998,1990,876,729,147,92,0.348,0.463,0.28,1,162,,
1,1998,1990,831,792,39,90,0.337,0.433,0.264,1,163,,
0,1998,1990,861,931,-70,80,0.339,0.444,0.271,0,163,,
1,1998,1990,750,760,-10,77,0.337,0.402,0.262,0,162,,
0,1998,1990,850,779,71,89,0.347,0.448,0.272,1,162,,
1,1998,1990,826,855,-29,77,0.347,0.461,0.291,0,162,,
0,1998,1990,722,863,-141,65,0.323,0.415,0.264,0,162,,
1,1998,1990,667,923,-256,54,0.317,0.373,0.248,0,162,,
1,1998,1990,874,620,254,102,0.356,0.436,0.28,1,162,,
0,1998,1990,714,899,-185,72,0.324,0.399,0.263,0,161,,
1,1998,1990,669,678,-9,83,0.31,0.387,0.252,0,162,,
1,1998,1990,707,812,-105,74,0.33,0.396,0.26,0,162,,
0,1998,1990,734,818,-84,70,0.328,0.389,0.266,0,162,,
1,1998,1990,644,783,-139,65,0.31,0.394,0.249,0,162,,
1,1998,1990,706,645,61,88,0.33,0.394,0.259,0,162,,
0,1998,1990,965,656,309,114,0.364,0.46,0.288,1,162,,
0,1998,1990,804,866,-62,74,0.338,0.397,0.257,0,162,,
1,1998,1990,713,808,-95,75,0.326,0.395,0.264,0,162,,
1,1998,1990,650,718,-68,69,0.311,0.374,0.254,0,163,,
1,1998,1990,749,635,114,98,0.33,0.409,0.253,1,162,,
0,1998,1990,859,855,4,76,0.345,0.468,0.276,0,161,,
1,1998,1990,845,739,106,89,0.353,0.421,0.274,0,163,,
1,1998,1990,810,782,28,83,0.341,0.441,0.258,0,163,,
0,1998,1990,620,751,-131,63,0.321,0.385,0.261,0,162,,
0,1998,1990,940,871,69,88,0.357,0.462,0.289,1,162,,
0,1998,1990,816,768,48,88,0.34,0.448,0.266,0,163,,
0,1997,1990,829,794,35,84,0.346,0.416,0.272,0,162,,
1,1997,1990,791,581,210,101,0.343,0.426,0.27,1,162,,
0,1997,1990,812,681,131,98,0.341,0.429,0.268,1,162,,
0,1997,1990,851,857,-6,78,0.352,0.463,0.291,0,162,,
1,1997,1990,687,759,-72,68,0.321,0.396,0.263,0,162,,
0,1997,1990,779,833,-54,80,0.341,0.417,0.273,0,161,,
1,1997,1990,651,764,-113,76,0.321,0.389,0.253,0,162,,
0,1997,1990,868,815,53,86,0.358,0.467,0.286,1,161,,
1,1997,1990,923,908,15,83,0.357,0.478,0.288,0,162,,
0,1997,1990,784,790,-6,79,0.332,0.415,0.258,0,162,,
1,1997,1990,740,669,71,92,0.346,0.395,0.259,1,162,,
1,1997,1990,777,660,117,84,0.344,0.403,0.259,1,162,,
0,1997,1990,747,820,-73,67,0.333,0.407,0.264,0,161,,
1,1997,1990,742,645,97,88,0.33,0.418,0.268,0,162,,
0,1997,1990,681,742,-61,78,0.325,0.398,0.26,0,161,,
0,1997,1990,772,861,-89,68,0.333,0.409,0.27,0,162,,
1,1997,1990,691,740,-49,78,0.316,0.425,0.258,0,162,,
1,1997,1990,777,709,68,88,0.332,0.405,0.262,0,162,,
0,1997,1990,891,688,203,96,0.362,0.436,0.287,1,162,,
0,1997,1990,764,946,-182,65,0.339,0.423,0.26,0,162,,
1,1997,1990,668,840,-172,68,0.322,0.385,0.255,0,162,,
1,1997,1990,725,760,-35,79,0.329,0.404,0.262,0,162,,
1,1997,1990,795,891,-96,76,0.342,0.407,0.271,0,162,,
0,1997,1990,925,833,92,90,0.355,0.485,0.28,1,162,,
1,1997,1990,784,793,-9,90,0.337,0.414,0.258,1,162,,
1,1997,1990,689,708,-19,73,0.324,0.396,0.255,0,162,,
0,1997,1990,807,823,-16,77,0.334,0.438,0.274,0,162,,
0,1997,1990,654,694,-40,76,0.31,0.389,0.244,0,162,,
1,1996,1990,773,648,125,96,0.333,0.432,0.27,1,162,,
0,1996,1990,949,903,46,88,0.35,0.472,0.274,1,163,,
0,1996,1990,928,921,7,85,0.359,0.457,0.283,0,162,,
0,1996,1990,762,943,-181,70,0.339,0.431,0.276,0,161,,
1,1996,1990,772,771,1,76,0.32,0.401,0.251,0,162,,
0,1996,1990,898,794,104,85,0.36,0.447,0.281,0,162,,
1,1996,1990,778,773,5,81,0.331,0.422,0.256,0,162,,
0,1996,1990,952,769,183,99,0.369,0.475,0.293,1,161,,
1,1996,1990,961,964,-3,83,0.355,0.472,0.287,0,162,,
0,1996,1990,783,1103,-320,53,0.323,0.42,0.256,0,162,,
1,1996,1990,688,703,-15,80,0.329,0.393,0.257,0,162,,
1,1996,1990,753,792,-39,82,0.336,0.397,0.262,0,162,,
0,1996,1990,746,786,-40,75,0.332,0.398,0.267,0,161,,
1,1996,1990,703,652,51,90,0.316,0.384,0.252,1,162,,
0,1996,1990,894,899,-5,80,0.353,0.441,0.279,0,162,,
0,1996,1990,877,900,-23,78,0.357,0.425,0.288,0,162,,
1,1996,1990,741,668,73,88,0.327,0.406,0.262,0,162,,
1,1996,1990,746,779,-33,71,0.324,0.412,0.27,0,162,,
0,1996,1990,871,787,84,92,0.36,0.436,0.288,1,162,,
0,1996,1990,861,900,-39,78,0.344,0.452,0.265,0,162,,
1,1996,1990,650,790,-140,67,0.325,0.387,0.256,0,162,,
1,1996,1990,776,833,-57,73,0.329,0.407,0.266,0,162,,
1,1996,1990,771,682,89,91,0.338,0.402,0.265,1,162,,
0,1996,1990,993,895,98,85,0.366,0.484,0.287,0,161,,
1,1996,1990,752,862,-110,68,0.331,0.388,0.253,0,162,,
1,1996,1990,759,706,53,88,0.33,0.407,0.267,1,162,,
0,1996,1990,928,799,129,90,0.358,0.469,0.284,1,163,,
0,1996,1990,766,809,-43,74,0.331,0.42,0.259,0,162,,
1,1993,1990,767,559,208,104,0.331,0.408,0.262,1,162,,
0,1993,1990,786,745,41,85,0.346,0.413,0.267,0,162,,
0,1993,1990,686,698,-12,80,0.33,0.395,0.264,0,162,,
0,1993,1990,684,770,-86,71,0.331,0.38,0.26,0,162,,
1,1993,1990,738,739,-1,84,0.325,0.414,0.27,0,163,,
0,1993,1990,776,664,112,94,0.338,0.411,0.265,1,162,,
1,1993,1990,722,785,-63,73,0.324,0.396,0.264,0,162,,
0,1993,1990,790,813,-23,76,0.335,0.409,0.275,0,162,,
1,1993,1990,758,967,-209,67,0.323,0.422,0.273,0,162,,
0,1993,1990,899,837,62,85,0.362,0.434,0.275,0,162,,
1,1993,1990,581,724,-143,64,0.314,0.346,0.248,0,162,,
1,1993,1990,716,630,86,85,0.33,0.409,0.267,0,162,,
0,1993,1990,675,694,-19,84,0.32,0.397,0.263,0,162,,
1,1993,1990,675,662,13,81,0.321,0.383,0.261,0,162,,
0,1993,1990,733,792,-59,69,0.328,0.378,0.258,0,162,,
0,1993,1990,693,830,-137,71,0.327,0.385,0.264,0,162,,
1,1993,1990,732,682,50,94,0.326,0.386,0.257,0,163,,
1,1993,1990,672,744,-72,59,0.305,0.39,0.248,0,162,,
0,1993,1990,821,761,60,88,0.353,0.435,0.279,0,162,,
0,1993,1990,715,846,-131,68,0.33,0.394,0.254,0,162,,
1,1993,1990,877,740,137,97,0.351,0.426,0.274,1,162,,
1,1993,1990,707,806,-99,75,0.335,0.393,0.267,0,162,,
1,1993,1990,679,772,-93,61,0.312,0.389,0.252,0,162,,
0,1993,1990,734,731,3,82,0.339,0.406,0.26,0,162,,
1,1993,1990,808,636,172,103,0.34,0.427,0.276,0,162,,
1,1993,1990,758,744,14,87,0.341,0.395,0.272,0,162,,
0,1993,1990,835,751,84,86,0.329,0.431,0.267,0,162,,
0,1993,1990,847,742,105,95,0.35,0.436,0.279,1,162,,
1,1992,1990,682,569,113,98,0.316,0.388,0.254,1,162,,
0,1992,1990,705,656,49,89,0.34,0.398,0.259,0,162,,
0,1992,1990,599,669,-70,73,0.321,0.347,0.246,0,162,,
0,1992,1990,579,671,-92,72,0.301,0.338,0.243,0,162,,
1,1992,1990,593,624,-31,78,0.307,0.364,0.254,0,162,,
0,1992,1990,738,690,48,86,0.336,0.383,0.261,0,162,,
1,1992,1990,660,609,51,90,0.328,0.382,0.26,0,162,,
0,1992,1990,674,746,-72,76,0.323,0.383,0.266,0,162,,
0,1992,1990,791,794,-3,75,0.337,0.407,0.256,0,162,,
1,1992,1990,608,668,-60,81,0.313,0.359,0.246,0,162,,
0,1992,1990,610,667,-57,72,0.315,0.364,0.256,0,162,,
1,1992,1990,548,636,-88,63,0.313,0.339,0.248,0,162,,
0,1992,1990,740,604,136,92,0.33,0.375,0.268,0,162,,
0,1992,1990,747,653,94,90,0.341,0.391,0.277,0,162,,
1,1992,1990,648,581,67,87,0.313,0.37,0.252,0,162,,
1,1992,1990,599,653,-54,72,0.31,0.342,0.235,0,162,,
0,1992,1990,733,746,-13,76,0.328,0.406,0.261,0,162,,
0,1992,1990,745,672,73,96,0.346,0.386,0.258,1,162,,
1,1992,1990,686,717,-31,70,0.32,0.377,0.253,0,162,,
1,1992,1990,693,595,98,96,0.324,0.381,0.255,1,162,,
1,1992,1990,617,636,-19,82,0.313,0.386,0.255,0,162,,
0,1992,1990,679,799,-120,64,0.323,0.402,0.263,0,162,,
1,1992,1990,574,647,-73,72,0.302,0.355,0.244,0,162,,
1,1992,1990,631,604,27,83,0.323,0.375,0.262,0,162,,
0,1992,1990,682,753,-71,77,0.321,0.393,0.25,0,162,,
0,1992,1990,780,682,98,96,0.333,0.414,0.263,1,162,,
1,1991,1990,749,644,105,94,0.328,0.393,0.258,1,162,,
0,1991,1990,686,796,-110,67,0.319,0.401,0.254,0,162,,
0,1991,1990,731,712,19,84,0.34,0.401,0.269,0,162,,
0,1991,1990,653,649,4,81,0.314,0.374,0.255,0,162,,
1,1991,1990,695,734,-39,77,0.309,0.39,0.253,0,160,,
0,1991,1990,758,681,77,87,0.336,0.391,0.262,0,162,,
1,1991,1990,689,691,-2,74,0.32,0.403,0.258,0,162,,
0,1991,1990,576,759,-183,57,0.313,0.35,0.254,0,162,,
0,1991,1990,817,794,23,84,0.333,0.416,0.247,0,162,,
1,1991,1990,605,717,-112,65,0.309,0.347,0.244,0,162,,
0,1991,1990,727,722,5,82,0.328,0.394,0.264,0,162,,
1,1991,1990,665,565,100,93,0.326,0.359,0.253,0,162,,
0,1991,1990,799,744,55,83,0.336,0.396,0.271,0,162,,
0,1991,1990,776,652,124,95,0.344,0.42,0.28,1,162,,
1,1991,1990,579,655,-76,71,0.308,0.357,0.246,0,161,,
1,1991,1990,640,646,-6,77,0.317,0.365,0.244,0,161,,
0,1991,1990,674,777,-103,71,0.316,0.387,0.256,0,162,,
0,1991,1990,760,776,-16,84,0.331,0.389,0.248,0,162,,
1,1991,1990,629,680,-51,78,0.303,0.358,0.241,0,162,,
1,1991,1990,768,632,136,98,0.338,0.398,0.263,1,162,,
1,1991,1990,636,646,-10,84,0.31,0.362,0.244,0,162,,
0,1991,1990,702,674,28,83,0.328,0.383,0.255,0,162,,
1,1991,1990,649,697,-48,75,0.309,0.381,0.246,0,162,,
1,1991,1990,651,648,3,84,0.322,0.357,0.255,0,162,,
0,1991,1990,829,814,15,85,0.341,0.424,0.27,0,162,,
0,1991,1990,684,622,62,91,0.322,0.4,0.257,1,162,,
1,1990,1990,682,821,-139,65,0.311,0.396,0.25,0,162,,
0,1990,1990,669,698,-29,76,0.33,0.37,0.245,0,161,,
0,1990,1990,699,664,35,88,0.344,0.395,0.272,1,162,,
0,1990,1990,690,706,-16,80,0.329,0.391,0.26,0,162,,
1,1990,1990,690,774,-84,77,0.314,0.392,0.263,0,162,,
0,1990,1990,682,633,49,94,0.32,0.379,0.258,0,162,,
1,1990,1990,693,597,96,91,0.325,0.399,0.265,1,162,,
0,1990,1990,732,737,-5,77,0.324,0.391,0.267,0,162,,
0,1990,1990,750,754,-4,79,0.337,0.409,0.259,0,162,,
1,1990,1990,573,656,-83,75,0.313,0.345,0.242,0,162,,
0,1990,1990,707,709,-2,75,0.328,0.395,0.267,0,161,,
1,1990,1990,728,685,43,86,0.328,0.382,0.262,0,162,,
0,1990,1990,732,760,-28,74,0.32,0.384,0.256,0,162,,
0,1990,1990,666,729,-63,74,0.324,0.385,0.265,0,162,,
1,1990,1990,662,598,64,85,0.322,0.37,0.25,0,162,,
1,1990,1990,775,613,162,91,0.323,0.408,0.256,0,162,,
0,1990,1990,603,749,-146,67,0.3,0.366,0.241,0,162,,
0,1990,1990,733,570,163,103,0.336,0.391,0.254,1,162,,
1,1990,1990,646,729,-83,77,0.327,0.363,0.255,0,162,,
1,1990,1990,733,619,114,95,0.33,0.405,0.259,1,162,,
1,1990,1990,673,673,0,75,0.32,0.38,0.257,0,162,,
0,1990,1990,640,680,-40,77,0.333,0.373,0.259,0,162,,
1,1990,1990,719,710,9,85,0.323,0.396,0.262,0,162,,
1,1990,1990,599,698,-99,70,0.32,0.358,0.256,0,162,,
0,1990,1990,676,696,-20,83,0.331,0.376,0.259,0,162,,
0,1990,1990,767,661,106,86,0.328,0.419,0.265,0,162,,
1,1989,1980,584,680,-96,63,0.298,0.35,0.234,0,161,,
0,1989,1980,708,686,22,87,0.326,0.379,0.252,0,162,,
0,1989,1980,774,735,39,83,0.351,0.403,0.277,0,162,,
0,1989,1980,669,578,91,91,0.311,0.386,0.256,0,162,,
1,1989,1980,702,623,79,93,0.319,0.387,0.261,1,162,,
0,1989,1980,693,750,-57,69,0.328,0.383,0.271,0,161,,
1,1989,1980,632,691,-59,75,0.309,0.37,0.247,0,162,,
0,1989,1980,604,654,-50,73,0.31,0.365,0.245,0,162,,
0,1989,1980,617,816,-199,59,0.318,0.351,0.242,0,162,,
1,1989,1980,647,669,-22,86,0.306,0.345,0.239,0,162,,
0,1989,1980,690,635,55,92,0.329,0.373,0.261,0,162,,
1,1989,1980,554,536,18,77,0.306,0.339,0.24,0,160,,
0,1989,1980,707,679,28,81,0.318,0.382,0.259,0,162,,
0,1989,1980,740,738,2,80,0.334,0.402,0.276,0,162,,
1,1989,1980,632,630,2,81,0.319,0.361,0.247,0,162,,
1,1989,1980,683,595,88,87,0.311,0.385,0.246,0,162,,
0,1989,1980,698,792,-94,74,0.331,0.391,0.269,0,161,,
0,1989,1980,712,576,136,99,0.331,0.381,0.261,1,162,,
1,1989,1980,629,735,-106,67,0.314,0.364,0.243,0,163,,
1,1989,1980,637,680,-43,74,0.311,0.359,0.241,0,164,,
1,1989,1980,642,626,16,89,0.319,0.369,0.251,0,162,,
0,1989,1980,694,728,-34,73,0.32,0.384,0.257,0,162,,
1,1989,1980,699,600,99,92,0.316,0.39,0.25,1,162,,
1,1989,1980,632,608,24,86,0.321,0.363,0.258,0,164,,
0,1989,1980,695,714,-19,83,0.326,0.394,0.263,0,162,,
0,1989,1980,731,651,80,89,0.323,0.398,0.26,1,162,,
1,1988,1980,555,741,-186,54,0.298,0.348,0.242,0,160,,
0,1988,1980,550,789,-239,54,0.305,0.359,0.238,0,161,,
0,1988,1980,813,689,124,89,0.357,0.42,0.283,1,162,,
0,1988,1980,714,771,-57,75,0.321,0.385,0.261,0,162,,
1,1988,1980,660,694,-34,77,0.31,0.383,0.261,0,163,,
0,1988,1980,631,757,-126,71,0.303,0.37,0.244,0,161,,
1,1988,1980,641,596,45,87,0.309,0.368,0.246,0,161,,
0,1988,1980,666,731,-65,78,0.314,0.387,0.261,0,162,,
0,1988,1980,703,658,45,88,0.324,0.378,0.25,0,162,,
1,1988,1980,617,631,-14,82,0.306,0.351,0.244,0,162,,
0,1988,1980,704,648,56,84,0.321,0.391,0.259,0,161,,
1,1988,1980,628,544,84,94,0.305,0.352,0.248,1,162,,
0,1988,1980,682,616,66,87,0.314,0.375,0.257,0,162,,
0,1988,1980,759,672,87,91,0.34,0.421,0.274,0,162,,
1,1988,1980,628,592,36,81,0.309,0.373,0.251,0,163,,
1,1988,1980,703,532,171,100,0.325,0.396,0.256,1,160,,
0,1988,1980,772,748,24,85,0.333,0.395,0.263,0,161,,
0,1988,1980,800,620,180,104,0.336,0.399,0.263,1,162,,
1,1988,1980,597,734,-137,65,0.306,0.355,0.239,0,162,,
1,1988,1980,651,616,35,85,0.317,0.369,0.247,0,160,,
1,1988,1980,594,583,11,83,0.31,0.351,0.247,0,161,,
0,1988,1980,664,744,-80,68,0.317,0.398,0.257,0,161,,
1,1988,1980,670,626,44,83,0.318,0.368,0.248,0,162,,
1,1988,1980,578,633,-55,76,0.309,0.337,0.249,0,162,,
0,1988,1980,637,735,-98,70,0.32,0.368,0.252,0,161,,
0,1988,1980,763,680,83,87,0.332,0.419,0.268,0,162,,
1,1987,1980,747,829,-82,69,0.339,0.403,0.258,0,161,,
0,1987,1980,729,880,-151,67,0.322,0.418,0.258,0,162,,
0,1987,1980,842,825,17,78,0.352,0.43,0.278,0,162,,
0,1987,1980,770,803,-33,75,0.326,0.401,0.252,0,162,,
1,1987,1980,720,801,-81,76,0.326,0.432,0.264,0,161,,
0,1987,1980,748,746,2,77,0.319,0.415,0.258,0,162,,
1,1987,1980,783,752,31,84,0.33,0.427,0.266,0,162,,
0,1987,1980,742,957,-215,61,0.324,0.422,0.263,0,162,,
0,1987,1980,896,735,161,98,0.349,0.451,0.272,1,162,,
1,1987,1980,648,678,-30,76,0.318,0.373,0.253,0,162,,
0,1987,1980,715,691,24,83,0.328,0.412,0.262,0,162,,
1,1987,1980,635,675,-40,73,0.309,0.371,0.252,0,162,,
0,1987,1980,862,817,45,91,0.346,0.428,0.276,0,162,,
0,1987,1980,786,806,-20,85,0.328,0.43,0.261,1,162,,
1,1987,1980,741,720,21,91,0.328,0.401,0.265,0,162,,
1,1987,1980,823,698,125,92,0.339,0.434,0.268,0,162,,
0,1987,1980,788,758,30,89,0.336,0.418,0.262,0,162,,
0,1987,1980,806,789,17,81,0.333,0.428,0.26,0,162,,
1,1987,1980,702,749,-47,80,0.327,0.41,0.254,0,162,,
1,1987,1980,723,744,-21,80,0.33,0.403,0.264,0,162,,
1,1987,1980,668,763,-95,65,0.332,0.378,0.26,0,162,,
0,1987,1980,760,801,-41,78,0.335,0.428,0.272,0,162,,
1,1987,1980,783,669,114,90,0.324,0.43,0.26,1,162,,
1,1987,1980,798,693,105,95,0.34,0.378,0.263,1,162,,
0,1987,1980,823,849,-26,75,0.333,0.43,0.266,0,162,,
0,1987,1980,845,655,190,96,0.336,0.446,0.269,0,162,,
1,1986,1980,615,719,-104,72,0.319,0.381,0.25,0,161,,
0,1986,1980,708,760,-52,73,0.327,0.395,0.258,0,162,,
0,1986,1980,794,696,98,95,0.346,0.415,0.271,1,161,,
0,1986,1980,786,684,102,92,0.338,0.404,0.255,1,162,,
1,1986,1980,680,781,-101,70,0.318,0.398,0.256,0,160,,
0,1986,1980,644,699,-55,72,0.31,0.363,0.247,0,162,,
1,1986,1980,732,717,15,86,0.325,0.387,0.254,0,162,,
0,1986,1980,831,841,-10,84,0.337,0.43,0.284,0,163,,
0,1986,1980,798,714,84,87,0.338,0.424,0.263,0,162,,
1,1986,1980,654,569,85,96,0.322,0.381,0.255,1,162,,
0,1986,1980,654,673,-19,76,0.313,0.39,0.252,0,162,,
1,1986,1980,638,679,-41,73,0.313,0.37,0.251,0,162,,
0,1986,1980,667,734,-67,77,0.321,0.385,0.255,0,161,,
0,1986,1980,741,839,-98,71,0.325,0.428,0.261,0,162,,
1,1986,1980,637,688,-51,78,0.322,0.379,0.254,0,161,,
1,1986,1980,783,578,205,108,0.339,0.401,0.263,1,162,,
0,1986,1980,797,738,59,90,0.347,0.43,0.271,0,162,,
0,1986,1980,731,760,-29,76,0.322,0.39,0.252,0,162,,
1,1986,1980,739,713,26,86,0.327,0.4,0.253,0,161,,
1,1986,1980,663,700,-37,64,0.321,0.374,0.25,0,162,,
1,1986,1980,656,723,-67,74,0.321,0.388,0.261,0,162,,
0,1986,1980,718,835,-117,67,0.326,0.399,0.253,0,162,,
1,1986,1980,698,618,80,83,0.322,0.375,0.253,0,162,,
1,1986,1980,601,611,-10,79,0.309,0.327,0.236,0,161,,
0,1986,1980,771,743,28,87,0.331,0.428,0.267,0,162,,
0,1986,1980,809,733,76,86,0.329,0.427,0.269,0,163,,
1,1985,1980,632,781,-149,66,0.315,0.363,0.246,0,162,,
0,1985,1980,818,764,54,83,0.336,0.43,0.263,0,161,,
0,1985,1980,800,720,80,81,0.347,0.429,0.282,0,163,,
0,1985,1980,732,703,29,90,0.333,0.386,0.251,0,162,,
1,1985,1980,686,729,-43,77,0.324,0.39,0.254,0,162,,
0,1985,1980,736,720,16,85,0.315,0.392,0.253,0,163,,
1,1985,1980,677,666,11,89,0.327,0.376,0.255,0,162,,
0,1985,1980,729,861,-132,60,0.324,0.385,0.265,0,162,,
0,1985,1980,729,688,41,84,0.318,0.424,0.253,0,161,,
1,1985,1980,706,691,15,83,0.319,0.388,0.261,0,162,,
0,1985,1980,687,639,48,91,0.313,0.401,0.252,1,162,,
1,1985,1980,682,579,103,95,0.328,0.382,0.261,1,162,,
0,1985,1980,690,802,-112,71,0.319,0.379,0.263,0,161,,
0,1985,1980,705,782,-77,77,0.326,0.407,0.264,0,162,,
1,1985,1980,633,636,-3,84,0.31,0.375,0.247,0,161,,
1,1985,1980,695,568,127,98,0.323,0.385,0.257,0,162,,
0,1985,1980,839,660,179,97,0.344,0.425,0.267,0,161,,
