Order,Lot Frontage,Lot Area,Overall Qual,Year Built,Mas Vnr Area,Total Bsmt SF,1st Flr SF,Gr Liv Area,Full Bath,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Yr Sold,SalePrice
705,60,6000,4,1953,,936,936,936,1,4,0,1974,2,576,2009,93000
706,50,6000,5,1950,,768,768,1328,1,6,0,1950,1,308,2009,129500
707,50,6000,5,1954,,811,811,1387,2,7,0,1954,1,256,2009,93000
708,62,7404,4,1920,,861,861,861,1,5,0,1920,2,288,2009,80000
709,50,5925,2,1940,,0,612,612,1,4,0,1965,1,308,2009,45000
710,50,5925,3,1910,,600,600,968,1,6,0,,0,0,2009,37900
711,50,5784,5,1938,,190,886,886,1,4,0,1938,1,273,2009,91300
712,60,8520,5,1923,,624,792,792,1,5,0,1963,1,287,2009,99500
713,33,4456,4,1920,,736,736,1452,2,8,0,,0,0,2009,113000
714,60,9600,4,1910,,677,833,1510,2,7,0,1974,2,720,2009,87500
715,50,3500,5,1947,,720,720,1284,1,5,0,1948,1,240,2009,110000
716,90,8100,5,1898,,849,1075,2138,2,11,0,1910,2,360,2009,106000
717,65,11700,7,1880,,1240,1320,2640,1,8,1,1950,4,864,2009,265979
718,70,8400,6,1900,,917,1090,2007,2,8,0,1930,1,357,2009,160000
719,60,3600,6,1917,,624,664,1288,1,5,1,1917,1,280,2009,119000
720,121,17671,8,1882,,916,916,1742,1,8,1,1925,2,424,2009,168000
721,,3300,4,1910,,624,816,816,1,5,1,,0,0,2009,58500
722,50,9000,7,1920,,650,832,1482,1,7,0,1930,2,324,2009,143000
723,60,7200,5,1910,,1022,1022,1022,1,4,0,1956,1,280,2009,85000
724,98,8820,5,1890,,1088,1188,1869,1,7,0,1963,2,456,2009,124900
725,60,5400,6,1920,,972,1044,1480,1,6,0,1920,1,207,2009,119000
726,60,9720,6,1910,,741,780,1521,1,8,0,1950,3,640,2009,146500
727,60,7879,4,1920,,720,720,720,1,4,0,,0,0,2009,34900
728,72,9392,3,1900,,245,797,797,1,5,0,,0,0,2009,44000
729,144,21384,5,1923,,1324,1072,1576,1,6,1,1923,2,528,2009,223500
730,,6615,6,1923,,1022,1432,1432,1,6,1,1923,1,216,2009,149000
731,55,7264,7,1925,,952,952,1548,2,5,0,1978,2,672,2009,205000
732,50,4960,5,1930,,297,1001,1654,2,7,1,1955,1,336,2009,137000
733,,8854,6,1916,,952,952,952,1,4,1,1916,1,192,2009,121000
734,50,6000,4,1936,,672,757,1324,1,6,0,1936,1,240,2009,128000
735,50,6000,6,1937,,698,786,1176,1,4,0,1999,2,624,2009,134900
736,50,6000,5,1925,,884,884,1348,1,5,1,1960,1,216,2009,117000
737,50,6000,6,1939,,780,825,1412,1,6,1,1939,1,280,2009,132500
738,60,6000,5,1924,444,468,822,1142,1,6,0,1924,1,320,2009,93000
739,50,6000,6,1926,,884,904,904,1,4,0,1926,1,180,2009,119000
740,60,6911,5,1924,,1145,1301,1301,1,5,0,1965,2,440,2009,100000
741,51,6120,5,1936,,927,1067,1539,1,5,0,1995,2,576,2009,141500
742,51,6120,4,1935,,884,989,1573,1,6,0,1935,1,240,2009,133000
743,51,6120,2,1936,,264,800,800,1,4,1,,0,0,2009,60000
744,51,6120,5,1931,,715,875,875,1,5,0,1931,1,180,2009,105000
745,51,6120,5,1925,,960,995,995,1,5,0,1926,1,264,2009,115000
746,51,6120,5,1938,,952,994,1582,2,6,1,1938,1,250,2009,150000
747,50,8635,5,1925,,1072,1072,1072,1,5,0,1982,5,1184,2009,126500
748,,11888,6,1916,,844,1445,2134,2,10,0,1930,2,441,2009,214500
749,60,11414,7,1910,,728,1136,2019,1,8,0,1997,2,532,2009,167500
750,57,8094,6,1915,,1048,1048,1768,2,8,0,1930,2,576,2009,155000
751,50,2500,7,1915,,910,916,1826,1,7,1,1915,1,164,2009,155000
752,68,9928,7,1915,,672,1272,1944,2,8,0,1915,1,216,2009,179900
753,92,5520,6,1912,,755,929,2229,1,8,0,,0,0,2009,104000
754,50,3000,5,1922,,1040,1088,2128,2,11,0,,0,0,2009,62500
755,57,6876,6,1927,,720,1146,1930,2,8,0,1927,1,316,2009,149000
756,52,6240,4,1925,,780,848,1208,1,5,0,1962,2,539,2009,103000
757,,5775,6,1915,,483,741,1427,1,7,0,1915,1,379,2009,123000
758,41,5852,7,1902,188,1020,978,1864,2,9,0,,0,0,2009,97500
759,60,5160,6,1927,,1204,1204,1666,1,4,0,1927,1,384,2009,135000
760,86,5160,4,1923,,858,892,892,1,5,0,,0,0,2009,70000
761,60,10320,6,1915,,698,754,1403,1,7,0,1915,1,308,2009,116000
762,50,4280,4,1946,,560,704,704,1,4,0,1946,1,220,2009,88750
763,60,10800,5,1987,,1200,1200,1200,3,5,0,,0,0,2009,179000
764,60,10800,5,1987,,1200,1200,1200,3,5,0,,0,0,2009,179000
765,,10547,5,1978,,1152,1152,1152,2,6,0,1960,1,252,2009,159900
766,,10020,1,1922,,683,904,904,0,4,0,,0,0,2009,61000
767,54,6629,6,1925,,672,697,1369,2,6,0,1930,1,300,2009,103600
768,60,9780,5,1934,,585,687,1112,2,6,0,1934,1,226,2009,63000
769,70,12886,5,1963,,520,1464,1464,2,6,1,1997,2,480,2009,175000
770,80,8816,5,1963,,1121,1121,1121,1,5,0,1963,2,480,2009,139000
771,70,11184,6,1978,92,918,918,1683,2,7,1,1978,2,440,2009,172500
772,75,11625,5,1967,172,1052,1052,1052,1,6,1,1984,1,668,2009,113500
773,65,7800,5,1967,89,864,899,899,1,5,0,1967,1,288,2009,130000
774,,8014,6,1978,23,456,1034,1034,1,5,1,1978,2,504,2009,149900
775,,7252,5,1982,,858,858,858,1,5,0,1983,2,576,2009,134900
776,74,8740,5,1982,,840,860,860,1,4,0,1996,2,528,2009,137000
777,,11616,5,1962,116,1092,1092,1092,1,6,1,1962,1,288,2009,139000
778,88,15400,5,1961,,552,904,1774,2,8,1,1961,1,384,2009,165000
779,88,15312,6,1960,54,1138,1138,1138,1,6,1,1960,2,480,2009,148000
780,,15584,5,1956,366,825,2071,2071,1,9,1,1956,1,336,2009,165000
781,,9000,2,1947,,0,660,660,1,5,0,,0,0,2009,63900
782,,11250,4,1957,,1104,1104,1788,1,8,2,1957,1,304,2009,161500
783,65,25095,5,1968,,1437,1473,1473,1,5,2,1968,1,452,2009,143000
784,,17140,4,1956,,1134,1229,1229,1,6,0,1956,1,284,2009,135000
785,,12342,4,1940,,861,861,861,1,4,0,1961,2,539,2009,82500
786,,10708,5,1955,,1617,1867,1867,1,7,3,1955,1,303,2009,190000
787,,13680,3,1955,,0,1733,1733,2,8,1,1955,2,452,2009,139600
788,,15635,4,1954,,0,1383,1383,1,6,0,1980,2,498,2009,122000
789,73,9855,6,1956,,1436,1689,1689,1,7,1,1956,2,480,2009,127500
790,68,9571,5,1956,,1073,1073,1073,1,5,0,1956,1,340,2009,121500
791,68,9571,5,1958,,1276,1276,1276,1,5,0,1958,1,350,2009,60000
792,50,9350,6,1946,,747,892,1639,1,6,1,1946,1,240,2009,154400
793,50,9340,4,1941,,672,672,672,1,4,0,1941,1,234,2009,113000
794,62,7440,5,1954,,1089,1089,1089,1,5,1,1954,1,252,2009,125000
795,,11500,4,1957,,0,845,845,1,5,0,1957,1,290,2009,84000
796,42,4235,5,1984,149,1049,1049,1049,2,5,0,1984,1,266,2009,139500
797,60,11409,5,1949,,768,1148,1716,1,8,1,1949,1,281,2009,131000
798,60,9060,6,1939,,560,698,1258,1,6,0,1939,1,280,2009,105000
799,60,9084,4,1940,,755,755,1510,1,7,1,1940,1,296,2009,108000
800,74,10778,7,1990,,1054,1061,1061,1,4,0,1990,2,462,2009,162000
801,66,19255,6,1983,100,520,1338,1338,1,5,1,1983,2,576,2009,156500
802,79,12327,8,1983,,1496,1496,2132,1,5,1,1983,2,612,2009,316600
803,90,14684,7,1990,234,2158,2196,2196,2,7,1,1990,3,701,2009,271900
804,75,9317,7,1993,137,740,1006,1775,2,7,1,1993,2,425,2009,213000
805,85,10560,7,1993,,1079,1079,1879,2,8,1,1993,2,473,2009,239900
806,80,9828,8,1995,,1128,1142,2020,2,8,1,1995,2,466,2009,239500
807,120,26400,5,1880,,0,1288,2016,1,7,1,1900,2,576,2009,131000
808,64,7018,5,1979,,0,1535,1535,2,8,0,1979,2,410,2009,118964
809,64,7018,5,1979,275,1086,1224,1224,0,6,2,1979,2,528,2009,153337
810,64,7018,5,1979,,0,1114,2228,2,8,0,1979,2,720,2009,147983
811,64,7018,5,1979,,0,1535,1535,2,8,0,1979,2,400,2009,118858
812,64,7018,5,1979,,0,1535,1535,2,8,0,1979,2,400,2009,118858
813,64,7018,5,1979,,0,1120,2240,2,12,0,1979,2,528,2009,142953
814,64,7040,5,1979,216,1094,1229,1229,0,6,2,1979,2,672,2009,148325
815,64,7007,5,1979,,0,1513,1513,2,8,0,1979,2,400,2009,113722
816,,11855,7,2000,23,1168,1168,2787,4,8,2,2000,4,820,2009,269500
817,,7939,7,2000,23,1168,1168,2787,4,8,2,2000,4,820,2009,269500
818,,7976,7,2000,23,1168,1168,2787,4,8,2,2000,4,820,2009,269500
819,84,10933,9,2009,242,1555,1680,1680,1,8,1,2009,3,1138,2009,323262
820,79,10637,8,2007,336,1705,1718,1718,2,7,1,2007,3,826,2009,297000
821,61,10226,8,2008,270,1622,1630,1630,2,8,1,2008,3,860,2009,295493
822,65,10816,9,2008,364,1720,1720,1720,2,8,1,2008,3,846,2009,332000
823,71,9178,8,2008,,1468,1468,1468,2,6,1,2008,3,904,2009,239900
824,68,10769,8,2007,,866,866,1768,2,7,0,2007,2,578,2009,212000
825,77,11422,8,2007,352,1838,1838,1838,2,7,2,2007,2,524,2009,272500
826,122,11923,9,2007,,1800,1800,1800,2,7,0,2007,2,702,2009,239000
827,68,8814,7,2006,180,1604,1604,1604,2,8,1,2006,2,660,2009,220000
828,64,6762,7,2007,,1282,1290,1290,2,6,1,2007,2,662,2009,200000
829,95,10324,8,2008,140,1254,1254,1254,2,5,0,2008,3,810,2009,221800
830,64,7314,7,2007,82,1232,1232,1232,2,6,0,2007,2,632,2009,194500
831,78,11645,8,2005,76,1498,1498,1498,2,7,1,2005,3,844,2009,237000
832,79,11646,6,2005,,704,704,1422,2,7,1,2005,2,440,2009,173000
833,,12800,7,1989,145,1518,1644,1644,2,5,1,1989,2,569,2009,275000
834,,16698,7,1992,,1449,944,1759,2,7,1,1992,2,525,2009,233500
835,,28698,5,1967,,1013,1160,2126,2,7,0,1967,2,538,2009,185000
836,82,12464,5,1996,,1040,1040,1040,1,6,0,2000,2,576,2009,152000
837,65,9757,5,1994,,990,990,990,1,5,0,1995,1,440,2009,143000
838,65,15426,6,1997,,928,928,1764,2,7,0,1997,2,470,2009,231500
839,43,10667,7,1996,,799,827,1661,2,6,1,1996,2,550,2009,212000
840,65,14753,7,1998,,1463,1463,1463,2,5,0,1998,2,539,2009,207000
841,112,10859,5,1994,,1097,1097,1097,1,6,0,1995,2,672,2009,145000
842,60,8072,5,1994,,990,990,990,1,5,0,2000,2,480,2009,138000
843,80,10400,7,1998,,866,866,1779,2,6,0,1998,2,546,2009,197900
844,78,10335,7,1999,183,1490,1501,1501,2,6,0,1999,2,577,2009,204000
845,68,9017,7,1999,,1431,1431,1431,2,6,0,1999,2,666,2009,192000
846,70,8750,6,1998,120,928,928,1772,2,7,1,1998,2,492,2009,200000
847,68,8935,7,2002,95,831,831,1660,2,7,0,2002,2,493,2009,195000
848,67,9808,7,2002,110,1573,1573,1573,2,6,0,2002,2,544,2009,227000
849,79,12420,7,2001,,944,944,1840,2,6,0,2001,2,622,2009,230000
850,67,16285,7,2001,,1413,1430,1430,2,6,0,2001,2,605,2009,187100
851,65,10739,7,2002,68,1431,1444,1444,2,6,0,2002,2,577,2009,203000
852,75,11166,7,2001,180,1492,1492,1492,2,6,1,2001,2,608,2009,201000
853,60,8430,5,1978,136,1040,1040,1040,2,5,0,,0,0,2009,124000
854,,16269,5,1978,76,907,907,907,1,5,0,1978,1,343,2009,140000
855,76,6950,5,1979,40,914,914,914,1,5,0,1979,2,444,2009,134900
856,61,8800,5,1977,,1040,1040,1040,2,5,0,1977,2,484,2009,150500
857,,7000,5,1978,90,864,864,864,1,6,0,1978,1,336,2009,136500
858,,9286,5,1977,,1268,1268,1268,1,5,0,1978,1,252,2009,143500
859,36,15523,5,1972,,864,864,864,1,5,1,1972,1,338,2009,133500
860,60,7200,5,1972,,894,894,894,1,6,0,1985,2,600,2009,123000
861,60,7200,5,1972,,768,768,768,1,5,0,1974,1,396,2009,133900
862,70,8445,5,1972,,768,768,768,1,5,0,1988,2,396,2009,133000
863,90,11664,7,2002,,1569,1611,1611,2,6,0,2002,3,1231,2009,250000
864,,12334,8,2003,198,1068,1068,2184,2,8,1,2003,2,570,2009,254750
865,,11838,8,2001,,1753,1788,1788,2,7,1,2001,2,522,2009,236500
866,,11885,8,2001,108,1299,1299,1872,2,7,1,2001,2,531,2009,261500
867,,11050,9,2000,204,1440,1476,2153,2,8,2,2000,3,736,2009,313000
868,70,8749,7,2002,,840,840,1725,2,6,0,2002,2,550,2009,198500
869,,11250,7,2001,,944,944,1870,2,6,0,2001,2,608,2009,211000
870,90,15750,8,1999,260,1462,1513,1513,2,5,1,1999,2,521,2009,220000
871,73,11883,7,1996,196,1504,1504,1504,2,6,1,1996,2,478,2009,203000
872,,12782,8,2002,164,1822,1828,1828,2,7,1,2002,2,523,2009,279500
873,70,8750,7,1997,209,1417,1417,1417,2,7,1,1997,2,511,2009,210000
874,,9375,7,1997,573,1057,1057,2034,2,8,0,1998,2,645,2009,219500
875,70,8750,7,1996,,880,909,1716,2,7,1,1996,2,512,2009,191000
876,70,9100,7,2001,,1212,1212,1212,2,6,0,2001,2,573,2009,178000
877,75,9750,7,2000,171,1630,1630,1630,2,6,1,2000,2,451,2009,213000
878,,4435,6,2003,170,848,848,848,1,4,0,2003,2,420,2009,144000
879,,4435,6,2003,170,848,848,848,1,4,0,2003,2,420,2009,140000
880,85,10200,8,2007,180,1578,1602,1602,2,7,1,2007,3,810,2009,293200
881,65,9313,7,2004,,864,864,1728,2,7,0,2004,2,572,2009,190000
882,63,8487,7,2004,210,1500,1500,1500,2,6,0,2004,2,570,2009,190000
883,64,8633,6,2005,,738,738,1476,2,7,0,2005,2,540,2009,173500
884,85,11069,6,2007,,608,608,1396,2,6,1,2007,2,440,2009,170000
885,67,8777,4,1949,,0,1126,1126,2,5,0,2002,2,520,2009,108000
886,75,9937,5,1964,,1486,1486,1486,1,7,0,1968,2,480,2009,167000
887,67,8877,4,1938,,816,816,816,1,3,1,1958,1,288,2009,100000
888,64,7301,7,2003,500,0,495,1922,3,7,1,2003,2,672,2009,198500
889,75,7950,6,1977,140,690,698,1426,1,6,0,1977,2,440,2009,159500
890,80,10682,4,1960,,1014,1149,1149,1,7,0,1968,1,544,2009,127000
891,72,7200,6,1976,255,1041,1125,1125,1,6,1,1977,1,352,2009,125000
892,86,13286,9,2007,340,1698,1698,1698,2,8,1,2007,3,768,2009,320000
893,35,3675,6,2005,80,547,1072,1072,1,5,0,2005,2,525,2009,145500
894,50,9405,5,1947,,698,698,698,1,4,0,,0,0,2009,118000
895,64,6410,4,1959,,876,876,876,1,5,0,1959,1,320,2009,85000
896,70,11767,5,1950,,1078,1368,1368,1,6,0,1950,1,195,2009,120000
897,50,8405,4,1945,,0,1088,1529,2,9,0,1945,1,240,2009,98000
898,56,4060,5,1922,,864,864,864,1,4,0,,0,0,2009,99900
899,74,10206,3,1952,,0,944,944,1,4,0,1956,2,528,2009,82000
900,65,10926,5,1959,74,1678,1678,1678,2,10,0,,0,0,2009,119900
901,70,11767,5,1956,259,1150,1560,1560,1,7,1,1956,1,313,2009,103500
902,,8926,4,1956,,672,960,960,1,5,0,1956,1,288,2009,112000
903,67,12354,6,1920,,684,684,1196,1,7,0,2005,2,528,2009,110000
904,45,8212,5,1941,,720,854,1298,1,6,2,1940,1,256,2009,122000
905,60,10998,5,1941,,984,984,1604,2,6,0,1977,2,660,2009,117000
906,70,6300,5,1938,88,832,832,1268,1,7,2,1938,1,250,2009,160000
907,55,4500,5,1932,,793,848,1520,1,6,0,1968,1,281,2009,159434
908,60,8400,2,1920,,290,438,438,1,3,0,1930,1,246,2009,60000
909,60,9900,6,1940,,778,944,1489,2,7,1,1940,1,240,2009,139500
910,102,15863,7,1920,,824,1687,3082,2,12,2,1970,2,672,2009,197000
911,43,5707,6,1935,,583,647,1242,1,6,1,1926,1,180,2009,105000
912,65,7804,4,1928,,1122,1328,1981,2,7,2,1981,2,576,2009,135000
913,64,8574,6,1916,,816,1232,1232,1,6,1,1916,2,440,2009,147500
914,51,6171,6,1925,,976,1160,1608,2,7,1,1925,1,216,2009,137450
915,60,7200,7,1936,,560,575,1135,1,6,0,1971,2,576,2009,155000
916,57,7558,6,1928,,896,1172,1913,1,9,1,1929,2,342,2009,177000
917,52,6292,7,1928,,861,877,1477,2,6,1,1928,1,216,2009,145000
918,53,7155,7,1918,,600,628,1228,1,6,1,1918,1,215,2009,137000
919,53,10918,7,1926,,1276,1276,2080,1,9,2,1926,1,282,2009,234000
920,60,13680,5,1940,,840,840,1567,1,6,2,1961,2,440,2009,205000
921,,7500,6,1942,,771,753,1494,1,7,2,1942,1,213,2009,177500
922,130,9600,5,1940,,728,976,1308,1,7,2,1940,1,256,2009,160000
923,80,14680,5,1960,,1273,1273,1273,1,5,0,1960,1,307,2009,155000
924,80,13360,5,1921,,876,964,964,1,5,0,1921,2,432,2009,163500
925,54,7681,5,1921,,731,820,1343,1,7,1,1921,1,186,2009,154900
926,,8145,7,1940,,920,1240,2480,2,13,2,1940,2,400,2009,205000
927,70,9100,5,1954,,1112,1112,1112,1,6,1,1954,1,390,2009,144800
928,75,12000,7,1941,,704,860,1564,1,7,1,1941,1,234,2009,174500
929,90,13339,6,1960,132,1561,1561,1561,2,6,1,1960,2,463,2009,193000
930,78,15600,5,1949,,1067,986,1523,2,7,1,1949,1,295,2009,158000
931,80,14000,6,1950,,1092,1152,1152,1,6,1,1950,1,300,2009,158500
932,100,17500,6,1954,420,1310,1906,1906,1,6,2,1954,2,576,2009,224000
933,24,1733,6,1980,,516,516,1032,1,5,1,1980,2,452,2009,115000
934,24,1488,6,1980,,561,561,1229,1,5,1,1980,2,462,2009,137000
935,24,1612,6,1980,,561,561,1229,1,5,1,1980,2,462,2009,121000
936,24,1300,6,1980,,561,561,1229,1,5,1,1980,2,462,2009,124000
937,,13607,6,1986,242,572,1182,1982,2,6,1,1986,2,501,2009,208000
938,,17597,7,1971,,1803,2365,2365,2,7,2,1971,2,551,2009,315000
939,,21695,6,1988,260,880,1680,1680,2,5,1,1988,2,540,2009,222000
940,59,10690,5,1920,,672,672,1344,1,6,0,1964,1,468,2009,147000
941,50,8660,5,1900,,760,928,2168,2,11,0,1998,2,576,2009,123000
942,60,6402,5,1920,,596,596,1192,1,6,0,1920,1,189,2009,78000
943,105,8470,3,1915,,1013,1013,1526,1,6,0,,0,0,2009,85000
944,60,10200,4,1925,,572,572,572,1,4,0,1940,1,200,2009,75000
945,44,3843,8,2007,174,1596,1648,1648,2,5,1,2007,2,482,2009,230000
946,109,21780,2,1910,,0,810,810,1,4,0,1975,1,280,2009,57625
947,75,10125,8,2000,,1107,1040,2052,2,7,1,2000,3,642,2009,251000
948,48,12822,7,2003,,1434,1518,2149,1,6,1,2003,2,670,2009,239686
949,43,12118,7,2004,108,1710,1710,1710,2,7,1,2004,2,550,2009,240000
950,71,12209,6,2001,,804,804,1961,2,7,1,2001,2,560,2009,215000
951,75,9750,6,1977,,902,926,926,1,5,1,1977,1,351,2009,156450
952,72,9360,6,1977,,957,1287,1287,1,5,2,1977,2,541,2009,173000
953,75,10125,5,1977,,0,1302,1734,2,8,0,1977,2,539,2009,126000
954,,9947,7,1990,,1188,1217,1217,2,6,0,1990,2,497,2009,173000
955,82,11070,5,1991,,1582,1595,1595,2,5,0,1991,2,672,2009,152000
956,,14375,6,1958,541,819,1344,1344,1,7,1,1958,2,525,2009,137500
958,89,12898,9,2007,70,1620,1620,1620,2,6,1,2008,3,912,2009,315500
959,83,13159,7,2009,,846,846,1692,2,6,0,2009,2,650,2009,224500
960,113,13438,9,2008,246,2190,2036,2036,2,9,1,2008,3,780,2009,410000
961,79,14463,9,2008,406,1641,1641,1641,2,7,0,2008,3,885,2009,316500
962,73,8925,8,2007,,1466,1466,1466,2,7,0,2007,3,610,2009,201000
963,130,11457,6,1988,,1392,1412,1412,2,6,1,1988,2,576,2009,175000
964,,9839,6,1980,,712,1375,2237,2,7,1,1980,2,440,2009,204000
965,125,14419,7,1987,310,1645,1479,1479,2,7,1,1987,2,578,2009,213500
966,,6853,8,2001,136,1267,1296,1296,2,6,0,2001,2,471,2009,220000
967,75,9157,7,2003,,912,1072,2014,2,9,0,2003,2,486,2009,170000
968,85,14601,9,2006,584,1838,1838,1838,2,8,1,2006,3,765,2009,315000
969,85,12633,9,2007,290,1978,1978,1978,2,7,1,2007,3,920,2009,425000
970,75,12518,5,1968,182,1008,1008,1008,1,6,0,1968,1,384,2009,139500
971,100,21750,5,1960,75,0,1771,1771,1,9,1,1960,2,336,2009,115000
972,32,4500,6,1998,320,1204,1204,1204,2,5,0,1998,2,412,2009,162000
973,,4500,6,1999,425,1224,1224,1224,2,5,0,1999,2,402,2009,165000
974,21,1596,4,1973,,462,526,988,1,5,0,1973,1,297,2009,91000
975,62,9858,5,1968,,864,874,874,1,5,0,1968,1,288,2009,130000
976,21,1526,4,1970,,630,630,630,1,3,0,1970,1,286,2009,86000
977,83,13383,5,1969,176,1188,1404,1404,2,7,1,1969,2,504,2009,160000
978,21,1477,4,1970,,630,630,630,1,3,0,1970,1,286,2009,80000
979,21,1533,4,1970,,546,798,1344,1,6,1,,0,0,2009,97000
980,21,2217,4,1970,,546,546,1092,1,6,0,1970,1,286,2009,88000
981,50,7689,5,1972,,796,796,796,1,4,0,1998,1,336,2009,131900
982,62,7706,6,1993,,384,1091,1091,1,5,0,1993,1,429,2009,131250
983,,9101,5,1978,104,1097,1110,1110,1,4,1,1978,2,602,2009,165500
984,,8780,5,1985,,833,833,833,1,5,0,,0,0,2009,112000
985,70,7669,5,1992,,828,883,883,1,5,1,1998,2,698,2009,149000
986,85,14115,5,1993,,796,796,1362,1,5,0,1993,2,480,2009,143000
987,62,10429,5,1992,,624,624,1287,1,6,0,2001,2,440,2009,130000
988,,9819,6,1977,,1567,1567,1567,2,5,2,1977,2,714,2009,196000
989,70,10457,5,1969,178,784,784,1632,1,7,1,1969,2,898,2009,173000
990,87,11029,6,1958,,1184,1414,1414,1,6,1,1990,2,601,2008,176500
991,,12925,6,1970,,1205,2117,2117,2,7,2,1970,2,550,2008,237500
992,85,11075,6,1969,,952,1092,2112,2,9,2,1969,2,576,2008,206900
993,72,8702,6,1997,,926,926,1604,2,7,1,1997,2,470,2008,187500
994,65,8139,6,1995,119,680,680,1470,2,7,1,1995,2,420,2008,165000
995,59,9535,6,1998,,926,926,1604,2,7,0,1998,2,472,2008,195500
996,59,9042,6,1998,,943,943,1638,2,7,2,1998,2,472,2008,192000
997,,15038,6,1996,,916,916,1636,2,7,1,1996,2,386,2008,173000
998,53,14137,5,1996,,1348,1384,1384,2,7,0,1996,2,404,2008,177900
999,57,21872,7,1996,,729,729,1446,2,6,1,1996,2,406,2008,175000
1000,41,4923,8,2001,,1593,1593,1593,1,5,1,2001,2,682,2008,286000
1001,45,6264,8,1997,,1664,1682,1682,1,6,1,1997,2,528,2008,247900
1002,41,5395,8,1993,,1337,1337,1337,2,5,1,1993,2,462,2008,180000
1003,39,5070,8,1992,,1280,1280,1280,2,5,0,1992,2,506,2008,180000
1004,100,10839,6,1997,,926,926,1604,2,7,1,1997,2,470,2008,181000
1005,73,11184,6,1998,,932,932,1633,2,7,1,1998,2,460,2008,183000
1006,,8000,6,1995,,773,773,1658,2,8,1,1995,2,431,2008,188000
1007,,10832,7,1994,,712,1086,1895,2,7,1,1994,2,409,2008,194500
1008,,14067,6,1991,194,836,851,1709,2,7,0,1991,2,416,2008,185000
1009,40,4671,8,1988,,1228,1228,1228,2,5,1,1988,2,472,2008,189000
1010,65,5950,8,1989,,1337,1337,1337,2,5,1,1989,2,462,2008,188500
1011,101,13543,8,2005,130,1168,1168,2500,3,9,1,2005,3,683,2008,355000
1012,77,11198,9,2005,245,1122,1134,2504,2,11,1,2005,3,656,2008,325000
1013,53,15401,9,2004,296,1884,1884,1884,2,7,1,2004,3,670,2008,387000
1014,,31220,6,1952,,1632,1474,1474,1,7,2,1952,2,495,2008,115000
1015,60,8118,9,2007,178,1710,1710,1710,2,6,1,2007,2,557,2008,334000
1016,,47280,6,1950,44,1488,1488,1488,2,6,1,1950,2,738,2008,133000
1017,46,20544,7,1986,123,791,1236,2093,2,7,1,1986,2,542,2008,215000
1018,63,12680,7,1988,102,1675,1688,1688,2,6,1,1988,2,528,2008,226500
1019,78,12090,6,1981,210,1422,1422,1422,2,7,1,1981,2,576,2008,175500
1020,,10825,7,1983,174,1260,1260,1260,2,6,0,1983,2,598,2008,181900
1021,56,18559,7,1978,383,2048,2064,2064,2,7,2,1978,2,550,2008,235000
1022,85,14450,7,1979,194,1782,1782,1782,2,6,1,1979,2,551,2008,220000
1023,,12227,6,1977,424,1330,1542,2872,2,11,1,1977,2,619,2008,272000
1024,90,13068,6,1976,621,1211,1211,1211,2,6,1,1976,2,461,2008,161000
1025,,15611,5,1977,,1126,1126,1126,2,6,0,1977,2,540,2008,175000
1026,80,10400,7,1980,280,738,1277,2044,2,7,1,1980,2,489,2008,185000
1027,75,9743,5,1969,,720,720,1308,1,7,0,1969,2,484,2008,146900
1028,,12511,7,1978,168,1420,1420,2840,2,8,2,1978,4,1314,2008,292500
1029,104,11361,6,1976,160,1193,1523,1523,2,7,1,1976,2,478,2008,180000
1030,80,10400,6,1976,120,1444,1444,1444,2,5,1,1976,2,473,2008,159900
1031,80,10480,7,1976,660,803,1098,1964,2,8,1,1976,2,483,2008,205000
1032,80,10000,5,1973,,1176,1178,1178,1,5,1,1973,2,439,2008,157000
1033,,14311,8,1996,402,1236,1236,2340,2,9,1,1996,3,787,2008,306000
1034,60,9000,5,1974,,896,896,1792,2,8,0,1982,2,480,2008,133000
1035,65,9750,6,1969,,1054,1054,1054,1,6,0,1969,2,460,2008,151000
1036,68,10295,4,1969,72,936,936,936,1,4,0,1969,1,288,2008,111900
1037,63,7560,5,1971,,864,864,864,1,5,0,1977,2,576,2008,123000
1038,,12735,4,1972,,864,864,864,1,5,0,1980,2,576,2008,111250
1039,34,4060,6,1998,,1405,1337,1337,2,5,0,1998,2,511,2008,181000
1040,21,1680,6,1973,359,483,483,987,1,5,0,1973,1,264,2008,103400
1041,21,1680,6,1973,158,483,483,987,1,5,0,1973,1,264,2008,100000
1042,21,1890,6,1972,422,483,483,987,1,5,0,1975,1,352,2008,100500
1043,21,1869,6,1970,127,483,483,987,1,5,0,1987,1,280,2008,106000
1044,21,1680,6,1971,232,483,483,987,1,4,0,1971,1,264,2008,85400
1045,21,1680,6,1971,604,483,483,987,1,5,0,1971,1,264,2008,89500
1046,21,1680,5,1972,356,630,630,1302,2,6,0,1972,1,264,2008,111750
1047,53,4043,6,1977,,1069,1069,1069,2,4,0,1977,2,440,2008,140000
1048,24,2308,6,1975,,855,855,1456,2,7,0,1975,2,460,2008,143000
1049,24,2529,7,1977,,1055,1055,1055,2,4,0,1977,2,440,2008,148500
1050,,9477,5,1966,65,864,892,892,1,5,0,1966,1,264,2008,110000
1051,96,12444,8,2008,426,1932,1932,1932,2,7,1,2008,3,774,2008,394617
